"id","name","rating","reviewtext"
"","goatboy45","5","i loev this VIDEO GAME"
"","iLoveMidna","5","My stupid dog took over my save file and now I'm stuck watching him play every night, I hate him so much"
"","XxX-Darkness-XxX","5","tenouttaten"
"","JustAnotherMug","2","this game made me nervous"
"","arizonaicet","1","I can't believe they're trying to cancel Elder Barbara, so stupid"
"","grandmasterflashbandicoot","5","Is Liliana single????"
"","JustWokeUpHere","5","help, i'm stuck in a review factory!"
"","hideokojima","5","somehow better than metal gear solid 3 says i, the real hideo kojima."
"","glados_boyfriend","1","---{Graphics}---
☑ You forget what reality is
☐ Beautiful
☐ Good
☐ Decent
☐ Bad
☐ Don‘t look too long at it
☐ Free Fire

---{Gameplay}---
☑ Very good
☐ Good
☐ It‘s just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{Audio}---
☐ Eargasm
☐ Very good
☐ Good
☐ Not too bad
☑ Bad
☐ I'm now deaf

---{Audience}---
☑ Kids
☐ Teens
☑ Adults
☐ All

---{PC Requirements}---
☐ Check if you can run paint
☐ Potato
☐ Decent
☐ Fast
☐ Rich boi
☑ Ask NASA if they have a spare computer

---{Difficulty}---
☐ Just press 'W'
☐ Easy
☐ Significant brain usage
☐ Easy to learn / Hard to master
☐ Difficult
☑ Dark Souls

---{Grind}---
☐ Nothing to grind
☑ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☐ Average grind level
☐ Too much grind
☐ You‘ll need a second live for grinding

---{Story}---
☐ No Story
☐ Some lore
☐ Average
☐ Good
☐ Lovely
☑ It‘ll replace your life

---{Game Time}---
☐ Really short ( 0 - 2 hours)
☐ Short ( 2 - 8 hours)
☐ Few hours ( 8 - 12 hours)
☐ Long ( 12+ hours)
☑ Endless

---{Price}---
☑ It’s free!
☐ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{Bones}---
☐ Never heard of
☐ Minor bugs
☐ Can get annoying
☐ Cyberpunk 2077
☑ The game itself is a big terrarium for bones"
"","CrysisCore","5","really rattled my bones"
"","neverknowsbest","4","🚬"
"","mr bones","5","what a wild ride, and i'd know all about that! it's me, mr bones, from memes. you know the one. anyway this isn't about me, it's about my glowing recommendation of the hit new action mmo rpg roguelite military farming simulator, skeleton puncher xiv! i genuinely feel this way, and would say the same thing if i wasn't #sponsored, probably!"
